id	org_id	name	manager_id	role	mobile	email	join_date	gender	birthday
10001	1	马云		9	15257239365	u422856@org.com	1623686400	1	834768000
10002	1	张松言	10001	9	15918589641	u467107@jaco.com	1623686400	2	424454400
10003	1	章伟	10002	2	18395003540	u917222@jaco.com	1623686400	1	960998400
10004	1	咸裕功	10002	3	15405211486	u682010@jaco.com	1623686400	2	708537600
10005	1	祖元榕	10002	3	15291431363	u319268@jaco.com	1623686400	1	329846400
10006	1	支胜松	10002	3	15018618357	u228066@jaco.com	1623686400	2	519145200
10007	1	宿康峰	10002	3	16915755387	u212777@jaco.com	1623686400	2	929376000
10008	1	李世	10002	3	16669655604	u681124@jaco.com	1623686400	2	613839600
10009	1	羿栋	10002	3	15301130351	u468613@jaco.com	1623686400	2	897840000
10010	1	丁裕志	10002	3	15389416189	u152762@jaco.com	1623686400	2	676911600
10011	1	庄致鹏	10002	3	19934405667	u959243@jaco.com	1623686400	1	740073600
10012	1	殷志之	10001	9	16183523173	u484041@jaco.com	1623686400	1	613839600
10013	1	虞裕	10012	1	13065312985	u982989@jaco.com	1623686400	1	519145200
10014	1	易亨强	10012	1	13908865120	u736791@jaco.com	1623686400	2	361382400
10015	1	冉心	10012	1	17638077939	u830365@jaco.com	1623686400	1	329846400
10016	1	雍旭亮	10012	1	18010988237	u812289@jaco.com	1623686400	1	550681200
10017	1	华政	10012	1	18613871688	u995043@jaco.com	1623686400	2	866304000
10018	1	谢义	10012	1	16622858112	u196729@jaco.com	1623686400	2	803145600
10019	1	昝翰	10012	1	19631665007	u286342@jaco.com	1623686400	2	929376000
10020	1	充俊博	10012	1	17817589053	u773076@jaco.com	1623686400	2	519145200
10021	1	叶弘	10012	1	17851020623	u648847@jaco.com	1623686400	1	834768000
10022	1	宁国亮	10001	9	18141889085	u760630@jaco.com	1623686400	2	929376000
10023	1	裴翔	10022	2	17735325471	u580729@jaco.com	1623686400	1	361382400
10024	1	郏博思	10022	3	13273955885	u320948@jaco.com	1623686400	1	613839600
10025	1	伊彪良	10022	3	18084647618	u992764@jaco.com	1623686400	2	392918400
10026	1	陈宏	10022	3	19542044249	u703917@jaco.com	1623686400	2	392918400
10027	1	于树杰	10022	3	15874938993	u359818@jaco.com	1623686400	2	424454400
10028	1	家翔义	10022	3	19428984284	u961658@jaco.com	1623686400	2	897840000
10029	1	阴榕	10022	3	15519903951	u919215@jaco.com	1623686400	2	613839600
10030	1	闵哲坚	10022	3	16766751586	u960414@jaco.com	1623686400	1	392918400
10031	1	阮磊朗	10022	3	17057094857	u338822@jaco.com	1623686400	1	456076800
10032	1	花茂	10001	9	13997441850	u612924@jaco.com	1623686400	1	550681200
10033	1	柏信	10032	5	13613893447	u380261@jaco.com	1623686400	1	803145600
10034	1	扈承	10032	5	16385187982	u687863@jaco.com	1623686400	2	392918400
10035	1	武斌	10032	5	18668162205	u186433@jaco.com	1623686400	2	771609600
10036	1	元学宁	10032	5	16032390504	u628796@jaco.com	1623686400	1	929376000
10037	1	牧若	10032	6	19041895786	u488883@jaco.com	1623686400	2	897840000
10038	1	浦雄致	10032	6	15710861056	u145418@jaco.com	1623686400	2	929376000
10039	1	步彬	10032	6	13730600869	u371447@jaco.com	1623686400	2	866304000
10040	1	山清	10032	6	18752946665	u697346@jaco.com	1623686400	1	676911600
10041	1	谈风	10032	6	13827219700	u431491@jaco.com	1623686400	1	361382400
10042	1	籍钧良	10001	9	13313568063	u427690@jaco.com	1623686400	1	708537600
10043	1	家才	10042	2	18863947681	u198607@jaco.com	1623686400	1	424454400
10044	1	贝冠	10042	2	13862507457	u228251@jaco.com	1623686400	1	803145600
10045	1	谢邦家	10042	2	13385794917	u872645@jaco.com	1623686400	2	424454400
10046	1	双壮楠	10042	2	17876967604	u314182@jaco.com	1623686400	2	834768000
10047	1	桑仁	10042	2	13379418047	u654646@jaco.com	1623686400	2	676911600
10048	1	史安	10042	2	13963674407	u563999@jaco.com	1623686400	2	487612800
10049	1	汪磊义	10042	2	16341373837	u911189@jaco.com	1623686400	1	424454400
10050	1	向琛强	10042	2	13087115227	u216961@jaco.com	1623686400	1	771609600
10051	1	萧翔	10042	2	18883741144	u541373@jaco.com	1623686400	2	487612800
10052	1	吉雄超	10001	9	16468674122	u240296@jaco.com	1623686400	2	676911600
10053	1	干海清	10052	4	19443583077	u596132@jaco.com	1623686400	2	613839600
10054	1	习超	10052	4	13422079321	u727113@jaco.com	1623686400	2	613839600
10055	1	鬱家	10052	4	16985608509	u588858@jaco.com	1623686400	1	487612800
10056	1	柯斌	10052	4	13460176222	u910226@jaco.com	1623686400	2	834768000
10057	1	赖义	10052	4	15697721772	u189594@jaco.com	1623686400	1	519145200
10058	1	堵盛	10052	4	17458415233	u976804@jaco.com	1623686400	2	740073600
10059	1	伊进	10052	4	18889061844	u292658@jaco.com	1623686400	1	519145200
10060	1	华伯克	10052	4	17838262117	u993544@jaco.com	1623686400	2	676911600
10061	1	桑乐榕	10052	4	15415802072	u682551@jaco.com	1623686400	2	519145200
10062	2	马化腾		9	15480693937	u326135@org.com	1655222400	1	834768000
10063	2	浦利	10062	9	18406902087	u387529@beem.com	1655222400	2	960998400
10064	2	康裕	10063	1	15960439346	u281849@beem.com	1655222400	1	424454400
10065	2	章东朗	10063	1	17220264413	u150492@beem.com	1655222400	1	582303600
10066	2	洪士	10063	1	17123638675	u740820@beem.com	1655222400	1	519145200
10067	2	汤亨	10063	1	15327943050	u874037@beem.com	1655222400	2	550681200
10068	2	宋心	10063	1	15249847419	u438874@beem.com	1655222400	2	361382400
10069	2	周之	10063	1	19882404319	u370521@beem.com	1655222400	1	771609600
10070	2	梅毅	10063	1	16870130253	u955595@beem.com	1655222400	2	550681200
10071	2	段琛	10063	1	18017661273	u281455@beem.com	1655222400	1	771609600
10072	2	姚豪	10063	1	18489343605	u446917@beem.com	1655222400	1	771609600
10073	2	甘军功	10062	9	17406912277	u516212@beem.com	1655222400	2	708537600
10074	2	毛星	10073	7	19836750404	u661860@beem.com	1655222400	2	550681200
10075	2	唐彪	10073	7	17055101456	u399544@beem.com	1655222400	1	487612800
10076	2	茅鸣茂	10073	7	15002779327	u840127@beem.com	1655222400	2	676911600
10077	2	封朋行	10073	7	18291713282	u318936@beem.com	1655222400	2	392918400
10078	2	翁浩	10073	7	15828369150	u187018@beem.com	1655222400	1	740073600
10079	2	卢贵	10073	7	15383563784	u342911@beem.com	1655222400	1	960998400
10080	2	终伦栋	10073	7	15048871184	u309529@beem.com	1655222400	2	487612800
10081	2	国军震	10073	7	13934959674	u572085@beem.com	1655222400	1	582303600
10082	2	栾之民	10073	7	17607463298	u888372@beem.com	1655222400	2	708537600
10083	2	井政家	10062	9	19909577570	u763213@beem.com	1655222400	1	392918400
10084	2	周才	10083	2	17402812764	u397177@beem.com	1655222400	2	424454400
10085	2	颜伦	10083	2	19002138697	u801482@beem.com	1655222400	2	550681200
10086	2	贡家全	10083	2	18254409296	u949853@beem.com	1655222400	1	645375600
10087	2	虞泽利	10083	2	13412633718	u374956@beem.com	1655222400	2	613839600
10088	2	褚乐	10083	2	15080960953	u813907@beem.com	1655222400	1	456076800
10089	2	元功政	10083	2	17469246559	u757105@beem.com	1655222400	2	456076800
10090	2	洪天振	10083	2	15459798513	u576729@beem.com	1655222400	1	897840000
10091	2	潘亨磊	10083	2	18746754376	u895687@beem.com	1655222400	2	708537600
10092	2	萧宁	10083	2	18289636448	u891881@beem.com	1655222400	1	487612800
10093	2	荀涛顺	10062	9	18421578644	u510491@beem.com	1655222400	2	519145200
10094	2	戈全谦	10093	4	16919492042	u609478@beem.com	1655222400	1	456076800
10095	2	成良学	10093	4	15561696441	u154680@beem.com	1655222400	1	803145600
10096	2	宓国	10093	4	15808289664	u570852@beem.com	1655222400	1	582303600
10097	2	宫树	10093	4	15722549875	u988968@beem.com	1655222400	2	487612800
10098	2	喻会裕	10093	4	16517167593	u440150@beem.com	1655222400	1	519145200
10099	2	苗龙刚	10093	4	15852361913	u151864@beem.com	1655222400	2	582303600
10100	2	贾浩	10093	4	19267165637	u930336@beem.com	1655222400	1	740073600
10101	2	居元永	10093	4	15171431235	u664314@beem.com	1655222400	1	392918400
10102	2	曹乐星	10093	4	15438214283	u986709@beem.com	1655222400	2	582303600
10103	2	司兴	10062	9	18952203122	u735802@beem.com	1655222400	1	424454400
10104	2	仲腾进	10103	8	19328462488	u338437@beem.com	1655222400	1	613839600
10105	2	凤栋清	10104	2	18103784998	u609044@beem.com	1655222400	2	424454400
10106	2	印星亨	10104	2	19619715733	u111512@beem.com	1655222400	1	866304000
10107	2	赖松裕	10104	2	17379973191	u840699@beem.com	1655222400	1	456076800
10108	2	何承炎	10104	2	13909252322	u144242@beem.com	1655222400	1	392918400
10109	2	华飞翔	10103	8	15349326789	u650685@beem.com	1655222400	2	897840000
10110	2	滑策	10109	6	18720133665	u716410@beem.com	1655222400	1	424454400
10111	2	通若保	10109	6	19645098581	u137779@beem.com	1655222400	2	708537600
10112	2	鬱致广	10109	6	17786978299	u181065@beem.com	1655222400	2	392918400
10113	2	梅进	10109	6	18857976735	u140194@beem.com	1655222400	2	456076800
10114	2	宰彬毅	10103	8	18120017485	u878459@beem.com	1655222400	2	392918400
10115	2	宿辉风	10114	5	15832001598	u183682@beem.com	1655222400	2	960998400
